5000 5000
147 3969 4063
1293 662 1317
4047 3275 4295
2594 4307 267
4082 3553 4161
4672 2669 1584
3555 3034 1008
3034 2883 2283
579 575 929
3797 4091 1066
2199 1440 2092
1821 3351 3257
3160 2188 3482
3014 1443 4839
1455 3799 4948
3103 1597 4371
2466 4453 1379
2104 2482 2665
4477 2515 4874
2372 3343 4557
3405 1106 1015
4472 1655 3325
1518 203 2730
3562 3867 1972
4395 4360 476
493 2518 2801
4297 1811 160
1020 2296 1179
1374 2551 4949
4669 2420 3697
1399 2979 4416
1252 831 1732
4361 2164 3019
2450 879 3329
3975 3454 2178
2799 3317 3837
1328 2070 816
3831 290 3215
776 4962 3202
2309 4655 494
1321 2210 877
2394 2198 1258
2218 824 3579
4717 1151 3940
259 945 189
2881 2130 1953
360 683 3439
2541 1268 1440
2017 885 3007
1885 3489 1239
338 177 1535
2920 620 4382
1373 1817 894
1549 632 3971
4451 1161 570
1169 3229 2666
4211 961 2294
3853 3987 1772
149 4896 59
3325 4747 1337
2591 4212 3771
4063 4669 2662
4293 4284 986
400 3532 3742
4714 3492 538
290 4390 1264
2640 1865 1057
2858 2368 4550
2669 3393 1023
2893 4475 338
3369 1453 2647
967 3698 4328
3735 1620 4022
656 4875 3878
2193 1314 4524
548 1194 4134
907 4744 3185
3592 1965 3550
1629 3646 1079
3992 4251 2061
1262 3507 4172
1020 1264 1722
1005 1771 81
3374 2689 947
1228 2199 157
1156 3135 2415
1569 2812 4632
3851 2324 4487
2909 3393 206
4728 2501 2320
4990 1164 512
2275 4151 530
4910 877 2271
218 4422 3422
4355 78 1143
2768 1996 882
4550 780 871
4189 4098 3989
4559 2373 3014
2199 1626 2124
1206 2859 3507
1466 4091 3332
2983 2982 3217
2519 4161 3860
1685 4489 2884
203 3570 979
367 3343 3155
693 647 3259
4494 1061 3976
2296 3807 3979
603 137 266
1786 1546 3380
2959 1462 413
3332 4095 2041
1419 219 2780
946 4304 1830
2501 3544 1673
1008 1336 2702
1790 665 508
756 5 4248
3642 1867 3185
2684 4391 2409
4616 3710 4020
909 3488 3332
4542 1983 3555
2783 3797 2874
4167 3629 4553
859 4623 2188
3073 1529 1648
1466 1196 504
4517 118 2162
289 4083 3677
3807 3331 4477
1092 2136 3558
4756 2908 995
3050 2093 1405
1044 2471 1785
2812 4878 3630
1705 409 3252
474 4308 4170
4327 3248 1216
837 2185 4017
3767 920 1834
2486 2610 3267
4362 4775 3986
4037 436 1105
1281 4477 563
2512 3515 2058
2210 3261 3828
2527 1101 3518
4622 4571 2138
3751 3414 3485
2101 535 348
4563 2773 4607
945 3479 1939
4340 4680 1477
2181 1617 1656
4275 1432 1845
4676 2171 4939
450 4884 4074
95 1955 2027
3916 2450 788
4107 563 4068
2450 2327 3396
3510 1667 2044
4560 1245 1932
4249 1886 2584
1480 4446 808
4551 3584 879
181 4573 2993
2885 4220 2419
2938 4633 2929
1348 3119 965
202 4483 1823
3955 841 4672
56 1463 2634
4108 3561 2462
743 1027 760
2467 943 2567
2518 1360 2829
3757 3955 4729
4672 2189 2215
1866 3208 4709
1308 382 415
2215 1043 274
707 3285 3357
4568 1019 2041
197 3390 1676
3383 3538 1656
2893 4824 3489
997 2504 90
2909 3809 4875
2009 2345 451
4388 224 39
2843 4986 1002
4395 2286 2553
633 3514 697
4350 2434 1370
482 3640 324
2902 2949 1005
3743 3796 59
3197 2716 4870
615 2608 3399
2780 1597 3687
1163 2056 2402
3804 2676 2002
2363 1841 1860
2354 158 544
73 1061 1027
2404 4672 4021
2159 2923 718
4477 67 366
4198 3301 2276
3742 3716 786
2610 3200 4965
4949 386 356
2857 1230 2017
2362 2336 3185
1962 4131 489
3173 3281 2351
991 2546 4177
166 3615 338
467 4725 2286
2268 4376 3418
4101 540 1106
2074 2333 94
2234 1885 3015
1061 3221 2632
2907 3687 2561
4602 1543 3372
178 1726 2881
3245 4651 983
1038 2962 1731
4202 4097 2319
4730 4814 605
3106 1204 394
18 2408 1663
3067 1809 2370
3720 2066 1351
354 2191 2883
2264 2439 4974
2006 4263 3127
4219 2435 657
2202 1723 3542
4749 1193 880
1985 1686 2901
1831 3745 2822
1587 4313 3122
2592 1630 1550
917 4596 4361
4242 1257 2618
4204 1735 3841
4735 342 6
4123 4386 1875
2131 3455 4338
2331 3829 3908
1686 4503 177
807 1025 4740
1442 4409 4762
879 3060 4988
3471 1968 3252
1737 4984 347
2778 4693 302
4088 4330 72
1385 4396 2412
3085 808 2530
2899 876 651
1367 4302 4374
877 4117 1225
680 457 4017
2691 2783 3623
1772 347 2553
2895 3000 902
1676 144 3244
4260 437 3599
3692 4606 1993
1007 4876 562
4907 146 4041
4944 1549 2012
1479 4671 2
2266 4890 463
3115 1473 3735
2903 1799 846
2342 260 4662
3493 107 3187
2989 2340 2868
1621 4642 2691
2313 1935 584
692 254 4721
4280 3653 3698
4461 968 4422
4509 1117 898
3343 1577 3852
2123 2355 3956
3380 3572 2903
3282 1850 2703
3217 462 25
3380 644 3711
3012 643 337
1377 3238 4216
3611 1469 1229
856 1676 3205
439 1763 1286
2193 46 4849
3833 2067 3072
3512 3208 1603
4426 1910 1278
1932 3770 1033
2934 2303 3981
4287 2429 136
1899 3807 980
1964 2767 1052
3253 2251 776
1215 1805 2421
2729 2955 4655
191 3043 1792
648 1886 1409
3126 205 2849
1136 676 1973
2440 1573 4752
1439 856 321
3796 4821 4257
2271 2342 854
3592 4181 4572
1420 2285 1767
913 3016 1628
640 2064 2927
4985 1824 433
2900 2271 3393
1399 4158 3198
148 4451 1341
4912 2121 710
3845 303 4063
1317 1284 4542
2182 3558 322
3608 3881 4678
413 3013 4897
2027 3962 3377
4525 1216 1355
3533 1990 4899
3372 2870 4760
4344 4208 227
1985 2784 3765
3318 4162 740
206 641 2552
1742 3541 196
2893 4344 2627
3335 1821 4203
1236 3680 648
1070 2909 850
4593 881 2422
3385 4623 15
2544 3136 1459
2830 483 4944
3039 869 4982
1012 746 1737
279 1202 700
1629 3759 2164
2156 535 1432
2917 4969 3052
1222 4855 1496
3360 4828 740
4953 641 290
322 1300 147
1339 4343 3288
1024 3277 2158
3398 821 894
2443 2126 4427
1293 2968 3053
3235 949 3379
3184 2311 2825
2073 2515 2960
95 1125 2748
2994 322 3037
4763 2140 1206
1412 2050 3784
4456 3633 2462
953 234 3349
2877 4739 1072
3153 2031 3031
1574 4795 2584
2521 3387 511
3387 3112 1823
3679 3777 4480
1916 1626 865
3031 2315 3221
3574 853 1902
2851 3826 1144
1206 2699 398
2705 1118 180
606 3020 1415
1125 2198 1896
1057 53 944
4486 1528 4737
935 1627 4451
3687 4376 4776
4325 734 4560
174 3576 46
2124 1638 2229
3259 2423 643
2399 4464 85
23 2529 4570
4950 3233 4397
159 559 1007
3826 4093 609
1315 789 1814
1845 4047 3366
1496 1019 3471
4927 2520 1986
3408 1873 3569
933 3873 1317
4787 2077 3506
2790 4128 2418
4741 1555 3034
1805 4249 2906
4483 4035 122
1050 1780 974
933 2 1142
1421 142 1425
2641 2854 1015
2060 3608 2598
3845 3537 2085
1835 1812 2158
2997 2156 1890
2015 2974 4001
4973 4032 3147
3858 4192 4257
4011 321 2835
4525 1493 3618
4506 2370 2744
4899 3271 3307
181 1733 3135
3158 1166 2104
3162 1283 1649
879 3103 191
1750 1346 4821
2697 2329 496
5 2715 4484
2629 1157 4178
3107 4052 4143
927 2979 170
4927 75 1856
3932 2201 327
2209 4842 2192
130 2057 3034
2769 597 4786
445 2472 3990
4875 3570 4602
3623 2354 3555
3642 2703 2635
4483 3416 657
1286 1223 4527
606 4928 4289
2945 2184 6
3180 3773 421
2298 32 3194
4899 3414 2986
769 3004 3627
3570 4876 1556
2516 4748 4654
1343 4292 1525
447 572 1005
2258 2331 3774
331 2137 3243
102 3340 1809
3631 1007 4018
2884 4107 2313
4636 3381 1754
1021 1916 2439
2801 1928 4764
1810 2631 1293
4753 3585 89
4759 1328 117
4865 3975 772
1405 4769 4348
1199 3753 4293
4035 3890 2329
2520 2563 1408
2551 1418 3085
4125 1131 4009
133 3813 954
4440 2743 2627
1567 1751 2903
44 2523 757
398 3130 3034
227 713 4189
2021 2611 368
4228 4794 3637
4653 1960 487
4349 3167 2117
3533 3814 4835
3912 2650 2674
1109 3015 2421
2341 2786 2819
1011 1279 4924
662 1087 278
2757 2634 181
4522 2679 4311
4232 420 1247
3231 1050 2603
1143 2517 476
4009 3506 3495
1447 36 1020
4242 922 812
3986 1520 3385
863 1243 947
2985 917 2452
4658 542 4912
3364 1097 1635
1650 1227 3136
1937 4732 4171
4263 2547 778
2693 2570 3809
1662 2069 4620
4808 3956 1910
4108 4784 1128
4690 1235 2843
642 4005 547
3034 769 4252
2413 3491 1902
1240 2697 4676
3178 1310 4198
1731 1515 3751
2736 248 508
3264 2850 909
864 74 3993
4180 4368 3372
271 2374 422
4664 2196 3835
4551 1339 2994
2191 623 4076
2083 2229 1749
450 4241 66
1142 1389 355
4260 3580 1590
2110 265 2680
3891 633 844
687 2540 1560
3881 1431 3849
1011 1442 3485
1125 4079 679
1627 3462 2594
1256 2392 2517
2144 3404 3889
2991 4391 2674
1167 2386 4692
2419 3006 248
4631 4049 916
2050 2129 746
2476 4451 4054
3102 4723 4908
2683 3900 675
3662 1440 4558
3784 3745 1625
3147 2057 4416
242 1921 2575
2982 2345 1809
4848 3148 3650
3434 624 4503
1106 4810 1937
2130 2234 4274
667 1501 4938
1609 1186 1739
2038 673 2459
3707 3363 1363
2415 3876 3438
793 2802 3851
3476 2783 3370
4784 682 801
145 667 767
4422 4228 118
4252 4885 2774
4725 2268 2200
2346 858 4732
1732 3711 3024
3197 679 3758
568 3858 3204
147 4759 1050
241 3637 3846
4064 2712 1253
3696 83 2391
767 2327 3493
39 2665 3164
604 4932 1055
849 4898 4185
2135 4136 4780
2681 1391 4233
3307 384 1012
1807 452 4306
1092 378 4809
1155 3915 687
4587 4448 2581
280 2109 4275
3482 2688 159
1573 3904 4335
3738 892 3627
1972 4234 4159
3353 1650 4246
2372 2259 4547
4566 1737 903
6 337 1025
2394 4326 1467
3282 1584 933
2597 1830 4614
3812 882 1720
2395 967 2923
2120 1304 4955
2026 3939 1106
3297 288 4005
2377 2106 3512
898 4898 2379
2653 2555 4862
2066 1960 37
4948 4202 652
1196 2168 2380
4254 4772 4722
1985 3252 3611
1171 2279 776
2695 2450 2820
4788 3113 1048
2437 4091 4638
2761 156 736
4645 872 2674
1313 2539 4553
2272 742 3840
3854 4170 3988
578 1133 4571
1686 1916 142
3855 2190 2593
1739 2006 3961
4510 2464 4525
2358 603 3327
1938 4978 2384
1246 1167 1216
2145 1048 4728
3297 3885 2797
2650 1409 3
1523 2493 104
3763 1538 447
195 1794 4513
4683 1414 4082
4131 1732 2430
1695 4540 62
274 3696 1269
1109 335 331
3350 4733 748
4801 1703 988
4993 4682 788
1862 3201 2922
4319 2494 3281
867 2457 768
144 3561 2952
4717 4153 2991
1487 3472 161
3248 1697 1542
809 2777 3907
4402 2333 2592
791 4104 3763
2622 785 4697
110 3395 230
4445 4860 775
649 2056 1418
2170 398 593
2972 4498 2911
2674 655 4240
4855 4476 130
2326 3202 3289
2271 2872 2790
559 579 2814
1936 2236 2290
41 1010 4581
4107 1158 1132
456 4560 3244
268 3799 1189
2002 4927 1725
2236 1190 4337
2671 3602 1331
422 524 4363
1050 3841 3537
4399 2275 4355
4482 3626 4602
4538 1315 1684
4299 4557 2318
2713 2595 266
3484 625 1905
2342 2123 1727
98 127 3765
740 4463 4523
3503 3890 3885
4527 1430 3180
1845 4639 4055
2530 3779 3810
1486 3603 3359
4041 3851 1386
30 3050 3037
2188 4916 4151
2832 4690 1840
504 3712 2974
39 2990 3035
564 913 1567
24 3277 1603
3892 3001 2251
1385 4724 4570
1074 2426 3341
1332 2781 1458
157 196 1965
1471 3374 1813
463 2313 1792
4912 2896 1732
1692 2389 4211
2633 2384 2282
1532 3806 18
222 890 4191
4096 1428 2344
2940 4771 3438
3513 1094 1834
2173 2174 2018
2576 3170 2609
2394 65 3045
1467 3168 4326
3913 1803 2814
4427 358 4516
1703 1589 2518
2245 483 2516
2240 2952 3084
4538 462 1993
2846 1878 658
2317 3236 456
4820 2343 967
81 3562 70
3052 3849 149
286 3625 178
2757 4047 2053
1739 2903 792
2158 1550 839
2003 1555 1836
2254 2088 2240
1586 1382 1054
4334 1761 3571
3367 1417 38
1825 4285 1372
1835 4126 4964
4724 172 1668
144 421 1284
1919 4556 3792
3907 3094 4493
1860 947 3891
44 3522 4750
1086 3407 3066
4988 3932 3807
3204 4249 393
3688 2184 3946
235 4983 4592
2012 2930 3603
4554 650 3664
3379 661 3415
1202 851 581
1406 1124 1839
2922 2789 617
4510 4029 1820
2778 2636 857
1445 278 3253
3750 4335 4870
1613 2859 1150
1033 3754 16
1587 3122 3735
1069 1683 1409
383 2467 731
4676 2241 2403
1600 4985 1526
2424 2420 4035
3340 2015 2807
3431 4394 994
3349 2199 1996
3641 3192 130
2901 4186 4393
2343 3449 1246
2267 3138 3603
4994 2042 3934
3758 2237 4227
2602 1921 1438
1610 616 1195
3867 101 1484
2456 3679 42
4816 882 1085
4202 734 3665
2368 2328 4553
1732 2358 2567
3268 4833 945
3721 1501 3431
3629 539 554
3907 947 4952
1146 3844 1792
991 4922 2753
2843 1431 3437
4554 2929 1326
2439 3294 2282
403 2573 1888
26 2917 275
682 2871 2062
2865 1381 2400
3443 1974 2423
1703 4542 4377
3357 1036 441
4819 3197 2561
4760 642 712
4032 4898 2388
1298 2009 4855
3338 4000 2780
4748 1191 163
670 3080 3101
2822 434 550
4020 3880 3562
3589 4943 4503
2886 259 428
1680 1095 2398
1628 1706 3709
2353 2726 3889
3378 4886 4273
3381 3352 2757
4899 3782 972
113 1525 3971
3040 4461 87
1100 953 469
2530 1627 2996
293 3870 336
3588 4409 4497
3123 3058 2973
598 1796 2730
2567 830 2010
579 2974 4538
3399 4406 279
1981 3859 590
1922 3870 3193
1138 422 997
1813 3095 1994
4032 3073 60
4354 4431 1001
4571 2390 3221
487 1043 1024
2426 805 4643
1349 1333 232
2039 2316 4804
7 4129 1545
3585 2071 2707
4149 2831 1405
1992 4323 4526
1317 4801 1079
2774 2897 3887
1837 4000 1009
2655 219 1328
451 775 1882
3372 3175 1835
4742 2161 3964
4067 1491 2989
1584 4927 1548
4432 3316 1120
3797 2092 239
116 1424 4327
4107 3887 4538
3915 3435 3040
3212 3351 222
514 1346 886
996 1940 4291
1731 1447 3614
2017 4657 4228
538 3535 34
801 83 3963
4179 4506 704
1591 731 3545
2048 788 2693
4732 3835 3952
4814 4477 3798
96 3375 2333
3754 4160 4500
4393 2281 421
4313 1280 4824
3653 1384 4386
3684 4159 2443
531 3182 3443
3823 628 4081
1439 102 1306
4660 2274 1899
4638 4032 704
3254 3267 2343
3605 95 1775
880 2497 4357
4165 4088 415
1030 4448 3886
2421 2475 3404
4326 767 2279
4643 4728 323
2413 1311 176
2989 2899 4344
143 3779 3206
1079 4030 3040
1001 1070 4688
138 2056 1680
1284 3365 218
1133 4584 2660
1996 2129 3742
1184 3010 4834
4267 3039 3521
1407 467 1755
4988 1477 2473
2017 3354 711
2284 897 3076
1744 969 2624
3167 1930 3886
3288 2803 1596
935 2481 882
3655 4608 1823
1070 3107 2848
2637 506 3364
1122 1900 2787
4842 3379 1256
1343 4884 3816
3788 3758 431
4769 66 3488
1876 1934 2128
2621 3757 4465
1300 286 1925
1961 973 4638
418 3670 837
1296 1316 4098
4726 4435 293
327 3716 1565
3357 2839 520
4446 980 3111
1097 4678 1067
4688 395 1757
4031 4303 4885
4079 640 806
4752 3139 2749
295 4280 4967
1087 565 2602
1859 4321 3510
3434 4411 3818
4468 3024 4066
4739 759 4779
3328 151 928
2626 1328 1585
3567 4533 79
3472 3452 1841
4066 1038 4622
4165 103 4067
3765 801 483
4649 4096 4089
1702 1586 4754
3005 148 1909
4105 2858 739
3715 3790 883
3653 4490 3372
4351 963 2111
3856 1199 1904
2829 3431 2196
133 2664 4015
1285 3717 412
1630 1282 3720
3354 751 393
1148 2203 3754
80 1625 3103
3280 1658 2442
3196 3980 4452
4143 3791 1033
4795 2718 4232
2670 554 155
4029 4863 2972
805 4921 450
4276 2578 604
3412 3183 877
2669 751 1654
4884 4201 2487
3848 2747 2348
3059 2157 724
681 4463 3547
459 2825 2658
285 4561 3750
734 2724 3347
3458 107 4016
2358 419 281
1706 753 1327
2345 4021 3092
3193 4638 3772
4654 1225 3574
1437 1097 4128
4237 323 3260
3697 3139 4145
2100 342 1985
2162 2903 3359
3705 15 4599
2771 2656 3204
622 4889 3890
462 2822 3935
6 3855 2759
1331 3153 4086
789 935 1442
2559 3031 4209
1391 2458 3150
1871 2759 4733
4958 4729 4095
1305 2616 1173
4457 2759 3729
4234 113 2375
2663 4433 2368
3444 4273 2480
2281 3459 64
3923 2739 793
2168 4200 2857
2995 471 4125
3573 1817 2522
4953 335 4855
1621 265 3788
12 4479 3226
1845 2641 4415
109 1155 818
3653 682 1740
4893 525 383
593 1043 4832
4383 3559 3371
1913 2125 4950
982 2983 990
2507 1691 3070
1040 3144 1296
917 4253 2137
180 78 4247
4726 2189 1033
32 2937 1169
2973 1083 1744
4990 2886 3521
2501 3536 3338
631 3091 2995
876 1222 2856
1279 3501 3443
2868 3547 2036
4498 1702 4944
1992 3414 3765
353 1044 1774
4607 508 3187
3218 2846 4033
1462 183 1477
3084 1076 2608
3422 793 3651
4669 939 2169
912 1680 3644
266 3975 4816
4822 3602 4186
4576 18 4705
4903 2106 4718
3000 2901 3386
4363 3916 557
4851 2504 2647
478 173 1323
3241 3576 1048
1785 1284 1136
674 1726 4994
3012 2592 2212
1570 4260 2471
4214 471 741
4545 1676 4494
3031 1477 1672
4581 1769 2881
1810 1377 2379
2523 3529 1614
1353 2266 4875
90 1835 256
2032 4913 3518
4315 1238 2558
4490 546 2575
182 296 4032
694 1546 1121
69 1442 2917
2465 1479 259
2214 4686 2798
1559 2313 2832
347 747 3319
4949 3310 4179
2538 4380 486
1258 1138 3508
341 2292 4733
2430 2716 745
3192 2809 2792
813 2876 1270
2135 2640 3244
3734 2711 175
654 1247 474
2313 4261 3702
553 1768 2272
1535 4726 21
398 145 2880
3287 1995 4062
2946 4210 3512
1996 2959 4149
4221 1587 1439
3952 1893 3548
1315 205 1498
1513 896 4444
4918 1361 1337
3968 2769 1000
875 3190 4161
1317 1098 3289
1424 1149 3359
2159 1917 3856
1002 928 1968
655 3235 3065
4238 3244 3567
2452 2748 1006
4226 2052 1418
4908 1979 3056
41 2135 4266
4189 3289 1787
1375 2395 3139
4056 422 543
373 4680 4766
2914 4592 2463
3586 3367 3981
1780 2351 1214
667 4422 4595
1199 2390 2909
1470 2312 1965
1200 1525 4574
3612 1766 1125
3479 1133 3157
1227 1746 3120
3457 1612 2427
3725 3488 33
1093 9 3694
2906 3205 3405
2881 3541 725
1523 2374 195
481 3051 929
3370 942 2993
1975 583 2080
567 4094 2598
2573 3280 1691
2798 674 1255
2999 1874 564
2166 2021 49
2259 2546 476
3599 2193 1603
4862 3026 783
2610 3818 3208
2611 4110 2965
1482 688 1466
4216 1017 3592
3399 3703 2100
117 3710 4445
3867 2750 3606
4070 2729 1121
66 4782 4373
2868 3826 4456
1836 3707 990
2104 4451 2806
2766 2861 386
698 4800 2332
471 1617 3400
4620 2214 3555
281 3916 4946
2615 2616 443
728 592 2493
3710 3408 1518
1577 2944 2895
1297 1002 4845
2611 3427 3398
1762 2583 1037
2251 1883 2183
2954 4856 2066
497 1595 3532
1787 2007 4325
4839 3012 911
3913 698 4349
4633 4009 851
3239 1173 3999
4607 777 2474
503 3680 4454
1670 201 1324
4510 396 1395
4780 3039 1215
421 4480 4047
1248 87 2919
2448 559 3663
4582 535 3706
1565 2011 2695
105 3741 1026
2974 870 2508
3828 3122 1678
1082 297 2611
3050 814 2211
4200 3861 4299
3822 1091 625
1529 1879 3844
256 4932 2013
3695 4938 3096
4209 2170 667
700 3335 2967
3020 4425 772
1416 2120 3586
95 3823 4919
1699 89 2317
494 1518 3880
2100 3835 4014
1562 3316 3842
3011 465 1908
2845 1138 4242
3253 1889 4638
2462 4647 927
2540 4121 3554
281 1881 307
29 1134 3853
2130 4160 4385
2890 1005 1912
4149 4147 979
1504 1960 3687
776 3180 3302
3290 3665 3022
4992 4562 2375
170 2065 3586
2375 1613 1066
59 3507 523
1910 688 2941
4880 4150 2258
3603 2955 2649
1716 4006 472
4768 4082 2621
890 2080 450
4277 1798 4906
4884 4351 417
2252 3248 3410
625 422 3932
3555 527 1771
504 3096 4732
1052 4116 215
3757 1035 2404
4118 4230 2842
259 4821 3629
499 2255 2066
727 907 2697
3013 2208 4576
1778 4082 2909
4229 299 441
940 2344 2057
228 2202 3515
4355 1302 1706
3166 1492 3217
2800 2556 1673
1606 956 1100
404 2540 799
3196 4787 2296
3463 4148 949
3850 406 3911
774 4198 3654
87 2745 133
2102 4857 2541
2386 338 1214
4706 2948 4425
4476 1420 4994
3558 2439 4874
2914 938 86
1337 1686 2573
440 1007 765
3674 4578 3682
3996 1200 1048
1062 3091 1122
4257 2718 4400
97 4739 2654
4359 3403 4130
3136 2083 4935
2656 3757 3242
4802 1848 1242
4100 1485 574
329 3387 2118
129 4902 2271
81 2612 3252
4285 965 307
4165 4395 2706
3016 3223 3988
3231 3366 1349
2875 4181 4402
540 4650 1143
467 254 2175
3567 1421 330
2091 3977 4395
4836 4953 3798
1199 3727 3881
2846 2151 3592
3117 3268 986
2941 3288 2466
667 2630 4043
2150 710 2366
4342 2267 2730
4728 3301 1570
4155 3592 4046
363 1757 3108
1599 2541 1178
2191 4285 1280
4898 4907 4162
2108 1629 279
1733 142 417
971 3280 2493
3862 609 4362
995 4827 4372
2591 854 2399
1460 748 2859
3387 2671 1781
2946 1382 1374
1744 3959 452
1211 421 4946
810 840 1728
4554 484 41
1053 4856 4918
2991 1864 3418
3612 681 3718
2704 4900 4150
4236 4396 708
1164 3907 2380
347 2548 1628
3248 4706 3872
2179 4108 87
3101 722 1009
2229 1315 3692
3281 631 2879
4763 3217 4486
2063 4105 1099
278 3235 2594
1746 4205 1702
3570 1755 3029
3535 4772 4029
492 4962 2618
2730 1936 3002
4143 3097 2163
4878 1185 2876
577 4857 4987
1323 1506 4490
3283 3783 149
4045 1203 3004
4719 862 2559
2113 1282 4927
412 1372 1463
1463 2407 248
757 1249 973
1519 2845 1269
254 3178 3510
2170 3861 3765
1834 4303 2154
3004 2769 707
1924 4878 1703
1120 2027 2604
3195 2446 3725
1914 4426 1903
2423 838 2765
1493 3268 277
140 3543 2991
2317 3690 234
2303 2434 3282
2204 563 2132
3072 2800 2071
3399 881 2674
1912 862 4118
4268 4463 3498
4255 2008 4106
2016 3340 4992
3347 3444 1203
428 1367 2702
3085 3061 880
3711 3556 536
4547 220 1829
2810 1845 45
2369 4870 1429
4033 4907 3949
4995 4070 1775
4573 320 2034
2790 3580 750
2262 2924 1546
2069 619 1339
4857 1646 728
81 4778 4017
2930 868 3890
3694 4660 1442
2970 3222 4661
2275 2418 1831
2880 917 4654
2775 2421 3719
2083 2349 1847
944 1208 2078
3891 3300 2476
3488 2169 4742
4576 1584 147
527 482 2666
4533 419 2595
1028 3729 139
890 953 694
698 3383 4016
4804 723 1228
1163 205 3955
110 4817 1991
1978 281 1977
1573 4104 2258
2070 4236 977
3065 855 3035
535 4474 4454
2334 3303 382
4886 3893 3120
2493 4517 594
1656 1610 3757
2386 4563 4542
2017 3597 2234
4708 1610 2669
1447 2591 3520
2929 1976 4251
1580 31 2265
963 4483 3222
1478 131 2570
4356 1569 919
4500 4027 2587
4393 4510 3040
728 215 4725
1508 550 3050
845 4006 3103
3196 2116 1505
3045 3007 2946
232 204 4556
1195 2504 1934
1635 2936 1285
1967 4843 2041
2076 562 3185
4048 772 3518
609 828 1401
165 3487 2984
3252 4974 1063
2333 4735 147
4149 3870 251
1113 4466 1110
4668 2021 3311
874 3362 4546
3972 4234 3523
4692 1993 4241
1021 1483 1571
3130 4622 3576
873 4508 3101
4943 2263 805
3869 145 1749
1307 297 1079
1463 3630 2443
3135 4884 2656
1165 4181 3615
2021 3364 3085
1167 1316 1086
285 2567 1228
2261 1364 4398
1513 4729 3031
266 2595 3899
408 1859 2421
382 3041 3336
3580 3890 234
3908 2972 2704
2580 1143 3628
1910 295 3367
2776 688 1148
2391 3824 437
874 4780 2342
4933 3800 1285
2129 3439 97
1224 1252 3525
4312 4590 4655
1331 3815 145
3251 4852 2058
1386 4962 3416
590 1165 3456
1504 2711 496
1242 3458 4361
2459 24 1695
1467 499 3713
3646 2723 775
4895 2042 45
2155 585 1436
4382 857 3364
1275 4938 4730
2562 2652 4741
4177 2765 4051
4391 3180 4480
4337 2568 1416
3837 2967 2063
1418 999 1398
3796 3996 4473
760 2074 291
1818 1860 2096
3080 3879 4077
3956 4436 4829
3404 27 4068
1280 2396 2371
3800 3890 3175
4329 285 3672
3257 1585 1945
4170 3663 2050
2942 1991 2940
2369 4640 3635
639 2500 1270
4856 3394 2092
1720 958 100
1228 4474 4005
3303 1995 3633
688 493 12
3191 1343 3002
4690 2730 2432
372 132 306
615 524 3139
3666 4669 3930
34 4596 296
3511 4820 1985
4386 2013 1150
2982 1693 1704
3010 2386 2697
2270 4550 3644
3013 4133 1093
3088 577 2773
3760 2242 4025
1418 2118 1549
651 3431 4050
4326 3195 4123
4856 2323 3851
2161 265 1844
3460 1781 1220
745 807 4866
4213 3993 183
1546 636 2198
1299 1962 3070
3576 4149 2051
3844 852 2554
4884 3300 2221
1101 3464 2319
4475 2629 1167
4416 513 2332
2065 4971 4884
2888 596 3007
4488 4550 1397
616 1867 712
2674 2903 4769
4095 4518 1121
1290 3624 4361
777 604 3097
1153 1343 4074
3745 371 441
2175 4533 4572
4837 4721 361
1467 1035 1266
3173 3870 227
3541 2605 2133
3780 2354 1167
1047 443 296
4831 4675 4568
1908 1382 830
3109 4803 1419
433 752 154
2789 2252 2394
2114 2345 836
3539 1491 3953
3133 2476 4928
1591 1733 546
3733 323 4660
1782 1323 1368
2253 1834 3915
1568 122 1660
2336 4884 3416
1703 2275 222
625 4527 3718
3212 4356 303
748 3670 3763
3876 1653 1565
4595 726 2325
3362 4509 3181
61 1087 635
1587 4717 537
2274 783 3208
3629 1094 4198
3865 3409 1536
945 3815 3209
947 868 1460
780 1 3011
3437 4534 219
1768 2424 89
1971 943 1076
1134 3668 3760
984 4340 1048
2513 4131 382
2853 2236 634
3149 2332 538
2263 2366 2204
4730 4950 2870
259 1179 2208
373 2595 1340
3784 3077 2989
1004 236 2886
2700 675 2732
1404 4277 10
336 4988 2484
396 4520 873
3767 2002 3111
550 2479 3983
789 4774 3743
3350 3549 1400
4079 1296 3685
3182 4884 1337
361 4847 2017
2415 3330 585
2681 679 4604
2391 3085 2764
672 2872 3889
2585 3588 3213
1687 3417 2274
2453 2303 863
2325 400 248
2836 4827 2664
4399 658 128
3802 4853 1524
436 3647 3180
1438 2986 419
4992 495 661
4881 112 3563
2849 99 4740
2080 4841 3487
412 4688 4029
3920 2993 3321
3377 4163 1657
135 1457 2943
1297 2410 3219
273 1698 2972
1757 1673 4433
3653 1047 4146
1310 2715 4107
4471 2575 969
4817 1170 2530
1223 461 2946
1082 1556 236
3074 569 1109
2578 2433 2489
1883 3006 920
76 3920 4399
4480 3960 2548
1084 144 88
4191 4592 2299
920 394 1307
429 1568 2212
2402 1729 2121
4533 2226 1587
4859 3668 1582
732 3165 1875
4990 625 2232
1509 4559 4836
2137 4005 97
4545 189 1195
4701 2769 3029
82 241 4197
1728 2350 1313
257 63 935
2050 1292 3569
4923 4192 3136
2582 1541 2788
2697 1192 4571
1256 4536 1216
3990 1224 3349
1686 879 122
2588 3952 467
2909 143 3342
2648 4995 2969
